"Cycle"  "Average State"  "Average Threshold"  "Clusters"
   186    0.2869    0.1490      4003
   187    0.2688    0.2139      5028
   188    0.2379    0.2697      6431
   189    0.1956    0.3133      7042
   190    0.1463    0.3437      6311
   191    0.0923    0.3607      5745
   192    0.0335    0.3617      5723
   193   -0.0297    0.3465      6758
   194   -0.0933    0.3153      7360
   195   -0.1492    0.2709      6711
   196   -0.1956    0.2160      5880
   197   -0.2306    0.1540      4825
   198   -0.2578    0.0860      4136
   199   -0.2778    0.0140      4189
   200   -0.2887   -0.0597      4666
   201   -0.2916   -0.1332      5974
   202   -0.2819   -0.2030      7611
   203   -0.2550   -0.2641      7792
   204   -0.2147   -0.3132      7091
   205   -0.1665   -0.3487      6727
   206   -0.1148   -0.3707      7050
   207   -0.0564   -0.3777      7743
   208    0.0056   -0.3686      8176
   209    0.0743   -0.3421      6381
   210    0.1413   -0.2982      4852
   211    0.1960   -0.2421      4277
   212    0.2349   -0.1780      4019
   213    0.2637   -0.1081      3863
   214    0.2854   -0.0337      3931
   215    0.3012    0.0439      3887
   216    0.3065    0.1212      4074
   217    0.2998    0.1960      4517
   218    0.2773    0.2625      5693
   219    0.2393    0.3182      6225
   220    0.1894    0.3596      6368
   221    0.1308    0.3858      6294
   222    0.0672    0.3945      5502
   223   -0.0013    0.3851      5776
   224   -0.0748    0.3575      7619
   225   -0.1454    0.3122      7766
   226   -0.2019    0.2544      6319
   227   -0.2428    0.1879      4947
   228   -0.2737    0.1152      4434
   229   -0.2970    0.0383      4446
   230   -0.3154   -0.0426      4950
   231   -0.3237   -0.1243      5815
   232   -0.3176   -0.2037      7053
   233   -0.2940   -0.2747      7559
   234   -0.2513   -0.3326      7431
   235   -0.1948   -0.3746      6689
   236   -0.1309   -0.3990      6450
   237   -0.0641   -0.4063      7096
   238    0.0084   -0.3956      7996
   239    0.0841   -0.3648      6532
   240    0.1539   -0.3169      5210
   241    0.2092   -0.2575      4928
   242    0.2504   -0.1897      4587
   243    0.2818   -0.1150      4289
   244    0.3049   -0.0355      3982
   245    0.3174    0.0459      4026
   246    0.3229    0.1274      3990
   247    0.3131    0.2050      4301
   248    0.2874    0.2740      4846
   249    0.2443    0.3298      5419
   250    0.1882    0.3705      6412
   251    0.1255    0.3939      6541
   252    0.0588    0.4003      6129
   253   -0.0110    0.3889      6199
   254   -0.0832    0.3585      8175
   255   -0.1486    0.3128      8042
   256   -0.2007    0.2554      6281
   257   -0.2391    0.1907      5109
   258   -0.2676    0.1204      4708
   259   -0.2875    0.0457      4584
   260   -0.3020   -0.0315      4848
   261   -0.3055   -0.1089      5349
   262   -0.3000   -0.1831      6144
   263   -0.2789   -0.2507      7048
   264   -0.2416   -0.3070      7650
   265   -0.1882   -0.3479      7022
   266   -0.1279   -0.3724      6188
   267   -0.0670   -0.3818      6995
   268   -0.0064   -0.3753      8012
   269    0.0585   -0.3520      7019
   270    0.1202   -0.3139      5809
   271    0.1707   -0.2648      5073
   272    0.2103   -0.2069      4554
   273    0.2414   -0.1425      4484
   274    0.2644   -0.0737      4303
   275    0.2807   -0.0016      4227
   276    0.2893    0.0719      4090
   277    0.2887    0.1440      4184
   278    0.2731    0.2111      4384
   279    0.2430    0.2682      5094
   280    0.1994    0.3123      6553
   281    0.1470    0.3425      6557
   282    0.0933    0.3590      5936
   283    0.0370    0.3614      5935
   284   -0.0246    0.3479      7241
   285   -0.0854    0.3184      7817
   286   -0.1394    0.2767      6825
   287   -0.1819    0.2258      5807
   288   -0.2156    0.1672      5097
   289   -0.2421    0.1029      5017
   290   -0.2604    0.0353      4979
   291   -0.2715   -0.0343      5026
   292   -0.2737   -0.1034      5388
   293   -0.2645   -0.1691      6254
   294   -0.2421   -0.2273      6794
   295   -0.2079   -0.2751      6445
   296   -0.1658   -0.3117      6227
   297   -0.1191   -0.3360      7318
   298   -0.0674   -0.3460      8256
   299   -0.0081   -0.3408      7871
   300    0.0530   -0.3201      6475
   301    0.1085   -0.2856      5476
   302    0.1523   -0.2418      5099
   303    0.1872   -0.1904      4819
   304    0.2156   -0.1330      4528
   305    0.2391   -0.0701      4352
   306    0.2576   -0.0033      4056
   307    0.2690    0.0654      3981
   308    0.2688    0.1328      3926
   309    0.2544    0.1951      4613
   310    0.2279    0.2488      6041
   311    0.1932    0.2931      6297
   312    0.1508    0.3254      5692
   313    0.1024    0.3454      6130
   314    0.0446    0.3495      7196
   315   -0.0211    0.3358      8135
   316   -0.0826    0.3071      7271
   317   -0.1347    0.2672      5970
   318   -0.1800    0.2163      5337
   319   -0.2189    0.1566      5078
   320   -0.2496    0.0906      4779
   321   -0.2716    0.0201      4809
   322   -0.2854   -0.0532      5387
   323   -0.2885   -0.1261      6175
   324   -0.2764   -0.1942      6734
   325   -0.2506   -0.2539      6653
   326   -0.2133   -0.3025      6376
   327   -0.1685   -0.3391      7501
   328   -0.1142   -0.3609      8225
   329   -0.0478   -0.3651      8264
   330    0.0224   -0.3507      6768
   331    0.0875   -0.3207      5854
   332    0.1437   -0.2778      5314
   333    0.1909   -0.2241      4848
   334    0.2304   -0.1616      4418
   335    0.2604   -0.0923      4126
   336    0.2819   -0.0190      3907
   337    0.2912    0.0560      3885
   338    0.2875    0.1277      4010
   339    0.2709    0.1934      4888
   340    0.2418    0.2505      5635
   341    0.2038    0.2966      5882
   342    0.1577    0.3307      5525
   343    0.1060    0.3506      5838
   344    0.0426    0.3537      7256
   345   -0.0271    0.3385      8387
   346   -0.0923    0.3074      7870
   347   -0.1475    0.2637      6703
   348   -0.1918    0.2103      5705
   349   -0.2258    0.1493      5175
   350   -0.2493    0.0837      4713
   351   -0.2640    0.0158      4744
   352   -0.2682   -0.0521      5249
   353   -0.2640   -0.1181      5750
   354   -0.2483   -0.1784      6089
   355   -0.2229   -0.2311      6129
   356   -0.1879   -0.2731      6175
   357   -0.1488   -0.3057      7060
   358   -0.1028   -0.3254      8280
   359   -0.0491   -0.3306      8374
   360    0.0105   -0.3205      7236
   361    0.0687   -0.2957      6537
   362    0.1193   -0.2595      5855
   363    0.1622   -0.2138      5158
   364    0.1957   -0.1609      4572
   365    0.2218   -0.1016      4221
   366    0.2390   -0.0390      4135
   367    0.2463    0.0238      4091
   368    0.2443    0.0847      4456
   369    0.2323    0.1417      4906
   370    0.2147    0.1929      5355
   371    0.1917    0.2383      5465
   372    0.1645    0.2762      5226
   373    0.1271    0.3040      5387
   374    0.0792    0.3180      6756
   375    0.0225    0.3171      8247
   376   -0.0367    0.3003      7922
   377   -0.0894    0.2715      6733
   378   -0.1349    0.2315      6162
   379   -0.1705    0.1840      5699
   380   -0.1977    0.1310      5215
   381   -0.2167    0.0746      5022
   382   -0.2298    0.0152      5095
   383   -0.2376   -0.0450      5394
   384   -0.2372   -0.1041      5490
   385   -0.2282   -0.1609      5575
   386   -0.2101   -0.2117      5740
   387   -0.1857   -0.2553      6514
   388   -0.1529   -0.2893      7892
   389   -0.1095   -0.3117      8623
   390   -0.0554   -0.3191      7928
   391    0.0029   -0.3111      7072
   392    0.0573   -0.2899      6532
   393    0.1063   -0.2568      5711
   394    0.1497   -0.2140      4892
   395    0.1849   -0.1631      4414
   396    0.2132   -0.1061      4324
   397    0.2337   -0.0449      4289
   398    0.2474    0.0186      4181
   399    0.2502    0.0823      4420
   400    0.2427    0.1424      5090
   401    0.2282    0.1977      5536
   402    0.2086    0.2471      5208
   403    0.1810    0.2891      5467
   404    0.1391    0.3196      6198
   405    0.0842    0.3340      7581
   406    0.0182    0.3311      7806
   407   -0.0445    0.3117      6899
   408   -0.1007    0.2789      6618
   409   -0.1483    0.2357      5927
   410   -0.1877    0.1836      5273
   411   -0.2197    0.1245      5170
   412   -0.2445    0.0601      5270
   413   -0.2594   -0.0067      5735
   414   -0.2654   -0.0739      5989
   415   -0.2604   -0.1389      5524
   416   -0.2500   -0.1999      5533
   417   -0.2313   -0.2556      6268
   418   -0.2023   -0.3033      7499
   419   -0.1565   -0.3370      8501
   420   -0.0940   -0.3526      7650
   421   -0.0244   -0.3500      6677
   422    0.0426   -0.3306      6287
   423    0.1032   -0.2970      5706
   424    0.1533   -0.2520      5180
   425    0.1938   -0.1979      4883
   426    0.2274   -0.1366      4751
   427    0.2518   -0.0697      4642
   428    0.2688   -0.0004      4468
   429    0.2757    0.0697      4400
   430    0.2706    0.1371      5168
   431    0.2559    0.1991      5254
   432    0.2350    0.2551      4563
   433    0.2038    0.3026      4665
   434    0.1573    0.3363      5139
   435    0.0961    0.3530      7255
   436    0.0264    0.3505      8255
   437   -0.0424    0.3317      7492
   438   -0.1041    0.2978      7152
   439   -0.1552    0.2525      6707
   440   -0.1966    0.1980      5817
   441   -0.2306    0.1361      5559
   442   -0.2548    0.0691      5444
   443   -0.2700   -0.0007      5844
   444   -0.2712   -0.0693      5852
   445   -0.2618   -0.1338      5231
   446   -0.2462   -0.1935      5100
   447   -0.2259   -0.2477      5553
   448   -0.1980   -0.2938      6982
   449   -0.1547   -0.3278      8246
   450   -0.0966   -0.3445      7896
   451   -0.0269   -0.3426      6992
   452    0.0413   -0.3235      6809
   453    0.1026   -0.2899      6302
   454    0.1538   -0.2445      5601
   455    0.1960   -0.1907      5159
   456    0.2277   -0.1298      4586
   457    0.2473   -0.0653      4281
   458    0.2561   -0.0002      4301
   459    0.2564    0.0641      4479
   460    0.2469    0.1250      5100
   461    0.2323    0.1815      5460
   462    0.2124    0.2318      4947
   463    0.1873    0.2757      4555
   464    0.1497    0.3088      4929
   465    0.0954    0.3264      7026
   466    0.0291    0.3254      8241
   467   -0.0380    0.3074      7680
   468   -0.0991    0.2752      7423
   469   -0.1500    0.2315      7078
   470   -0.1896    0.1780      6272
   471   -0.2150    0.1209      5347
   472   -0.2295    0.0618      4782
   473   -0.2349    0.0015      4849
   474   -0.2329   -0.0567      5640
   475   -0.2240   -0.1118      5850
   476   -0.2107   -0.1627      5159
   477   -0.1941   -0.2097      5408
   478   -0.1738   -0.2507      6453
   479   -0.1414   -0.2822      8068
   480   -0.0916   -0.2989      8293
   481   -0.0298   -0.2991      7535
   482    0.0335   -0.2825      7207
   483    0.0924   -0.2515      6359
   484    0.1414   -0.2095      5007
   485    0.1743   -0.1612      4551
   486    0.1941   -0.1096      4511
   487    0.2050   -0.0571      4541
   488    0.2094   -0.0042      4676
   489    0.2075    0.0475      4829
   490    0.2000    0.0965      5464
   491    0.1891    0.1424      5867
   492    0.1752    0.1844      5242
   493    0.1584    0.2221      4696
   494    0.1323    0.2522      4801
   495    0.0907    0.2701      6264
   496    0.0341    0.2717      7836
   497   -0.0260    0.2573      7954
   498   -0.0807    0.2300      7638
   499   -0.1244    0.1934      7025
   500   -0.1547    0.1507      5798
   501   -0.1733    0.1050      5131
   502   -0.1819    0.0580      4900
   503   -0.1846    0.0115      5113
   504   -0.1828   -0.0344      5488
   505   -0.1765   -0.0781      5813
   506   -0.1676   -0.1183      5169
   507   -0.1575   -0.1560      5163
   508   -0.1456   -0.1909      5971
   509   -0.1257   -0.2200      7701
   510   -0.0891   -0.2384      8954
   511   -0.0386   -0.2417      7818
   512    0.0160   -0.2309      6619
   513    0.0645   -0.2081      6051
   514    0.1019   -0.1777      5440
   515    0.1291   -0.1420      4958
   516    0.1472   -0.1029      4784
   517    0.1567   -0.0623      4779
   518    0.1612   -0.0214      4843
   519    0.1592    0.0182      4805
   520    0.1526    0.0561      5251
   521    0.1439    0.0910      6006
   522    0.1358    0.1242      5483
   523    0.1262    0.1556      5047
   524    0.1118    0.1823      4988
   525    0.0827    0.1996      5584
   526    0.0410    0.2050      7734
   527   -0.0050    0.1978      8030
   528   -0.0463    0.1809      6948
   529   -0.0789    0.1573      6435
   530   -0.1052    0.1275      5932
   531   -0.1225    0.0944      5578
   532   -0.1330    0.0595      5330
   533   -0.1366    0.0249      5336
   534   -0.1346   -0.0093      5555
   535   -0.1301   -0.0414      5664
   536   -0.1208   -0.0705      5049
   537   -0.1137   -0.0980      5225
   538   -0.1092   -0.1247      5841
   539   -0.0989   -0.1488      6933
   540   -0.0781   -0.1661      7967
   541   -0.0435   -0.1732      7337
   542   -0.0059   -0.1697      6666
   543    0.0299   -0.1578      6377
   544    0.0595   -0.1395      5966
   545    0.0842   -0.1155      5550
   546    0.1014   -0.0884      5287
   547    0.1116   -0.0592      5225
   548    0.1147   -0.0294      4944
