"Cycle"  "Average State"  "Average Threshold"  "Clusters"
  2450   -0.1845   -0.7482     11191
  2451   -0.0361   -0.7386     11418
  2452    0.1242   -0.6873      9719
  2453    0.2776   -0.5986      5604
  2454    0.3977   -0.4835      3003
  2455    0.4765   -0.3535      2323
  2456    0.5213   -0.2164      2893
  2457    0.5455   -0.0767      3570
  2458    0.5605    0.0653      3395
  2459    0.5640    0.2075      3042
  2460    0.5525    0.3446      3586
  2461    0.5215    0.4718      3885
  2462    0.4731    0.5844      3846
  2463    0.4009    0.6762      4308
  2464    0.3026    0.7404      5053
  2465    0.1740    0.7681      7365
  2466    0.0241    0.7553      9842
  2467   -0.1383    0.7009     11143
  2468   -0.2913    0.6083     11608
  2469   -0.4146    0.4887      9555
  2470   -0.4957    0.3533      6016
  2471   -0.5430    0.2111      3696
  2472   -0.5684    0.0659      3251
  2473   -0.5826   -0.0818      4577
  2474   -0.5826   -0.2276      5580
  2475   -0.5652   -0.3669      5281
  2476   -0.5287   -0.4949      5449
  2477   -0.4731   -0.6072      6482
  2478   -0.3960   -0.6967      7883
  2479   -0.2929   -0.7573      9719
  2480   -0.1627   -0.7824     11173
  2481   -0.0106   -0.7663     11377
  2482    0.1505   -0.7093      9837
  2483    0.3025   -0.6145      6573
  2484    0.4277   -0.4913      3541
  2485    0.5141   -0.3510      2419
  2486    0.5639   -0.2030      2592
  2487    0.5885   -0.0522      3099
  2488    0.5985    0.0986      3032
  2489    0.5924    0.2463      2542
  2490    0.5674    0.3848      3529
  2491    0.5236    0.5107      3890
  2492    0.4633    0.6196      3809
  2493    0.3823    0.7054      4676
  2494    0.2766    0.7616      6102
  2495    0.1460    0.7823      7639
  2496   -0.0043    0.7630      9450
  2497   -0.1653    0.7021     11383
  2498   -0.3169    0.6033     11249
  2499   -0.4439    0.4760      9846
  2500   -0.5320    0.3315      6795
  2501   -0.5813    0.1791      4058
  2502   -0.6033    0.0253      3287
  2503   -0.6065   -0.1274      3996
  2504   -0.5946   -0.2749      4734
  2505   -0.5648   -0.4130      4670
  2506   -0.5183   -0.5372      5341
  2507   -0.4548   -0.6438      7083
  2508   -0.3700   -0.7266      8666
  2509   -0.2601   -0.7785     10122
  2510   -0.1273   -0.7945     10865
  2511    0.0254   -0.7690     11568
  2512    0.1869   -0.7019      9527
  2513    0.3394   -0.5975      6936
  2514    0.4642   -0.4654      4098
  2515    0.5525   -0.3157      2358
  2516    0.6015   -0.1587      2028
  2517    0.6203   -0.0007      1975
  2518    0.6170    0.1540      2069
  2519    0.5963    0.3008      2440
  2520    0.5586    0.4365      3705
  2521    0.5089    0.5580      4005
  2522    0.4435    0.6611      3920
  2523    0.3568    0.7398      5214
  2524    0.2446    0.7876      7083
  2525    0.1114    0.7990      7971
  2526   -0.0389    0.7706      9011
  2527   -0.2008    0.7004     10842
  2528   -0.3561    0.5925     11236
  2529   -0.4846    0.4552      9946
  2530   -0.5713    0.3009      7240
  2531   -0.6140    0.1412      4359
  2532   -0.6254   -0.0169      3064
  2533   -0.6159   -0.1701      3546
  2534   -0.5896   -0.3145      4432
  2535   -0.5499   -0.4471      4438
  2536   -0.4972   -0.5655      5299
  2537   -0.4312   -0.6657      7727
  2538   -0.3423   -0.7409      9314
  2539   -0.2283   -0.7843     10133
  2540   -0.0930   -0.7908     10739
  2541    0.0576   -0.7581     10748
  2542    0.2146   -0.6844      9360
  2543    0.3623   -0.5751      7100
  2544    0.4812   -0.4389      4300
  2545    0.5647   -0.2863      2083
  2546    0.6087   -0.1282      1715
  2547    0.6191    0.0285      1846
  2548    0.6087    0.1796      2058
  2549    0.5813    0.3222      2633
  2550    0.5396    0.4526      3970
  2551    0.4849    0.5677      4369
  2552    0.4176    0.6636      4019
  2553    0.3277    0.7351      5457
  2554    0.2141    0.7751      7245
  2555    0.0795    0.7785      8294
  2556   -0.0709    0.7421     10069
  2557   -0.2231    0.6676     10925
  2558   -0.3612    0.5592      9679
  2559   -0.4760    0.4256      8638
  2560   -0.5570    0.2758      7195
  2561   -0.6002    0.1200      4582
  2562   -0.6130   -0.0355      3356
  2563   -0.6025   -0.1852      3859
  2564   -0.5749   -0.3260      4816
  2565   -0.5314   -0.4537      4865
  2566   -0.4738   -0.5652      5539
  2567   -0.4043   -0.6576      7678
  2568   -0.3142   -0.7249      9448
  2569   -0.1985   -0.7602     10217
  2570   -0.0625   -0.7591     10643
  2571    0.0853   -0.7191      9843
  2572    0.2303   -0.6431      8024
  2573    0.3610   -0.5359      6723
  2574    0.4672   -0.4053      5022
  2575    0.5457   -0.2583      2510
  2576    0.5919   -0.1039      1732
  2577    0.6056    0.0494      1720
  2578    0.5959    0.1976      2011
  2579    0.5668    0.3361      2675
  2580    0.5195    0.4603      3957
  2581    0.4584    0.5667      4905
  2582    0.3833    0.6534      4946
  2583    0.2911    0.7152      5891
  2584    0.1769    0.7458      7144
  2585    0.0425    0.7403      8664
  2586   -0.1029    0.6971     10130
  2587   -0.2441    0.6185     10484
  2588   -0.3693    0.5106      8699
  2589   -0.4702    0.3799      7464
  2590   -0.5430    0.2342      6831
  2591   -0.5855    0.0822      4926
  2592   -0.5982   -0.0700      3718
  2593   -0.5889   -0.2161      4198
  2594   -0.5586   -0.3523      4939
  2595   -0.5109   -0.4747      5610
  2596   -0.4474   -0.5789      6419
  2597   -0.3676   -0.6610      7751
  2598   -0.2706   -0.7168      8926
  2599   -0.1537   -0.7410      9861
  2600   -0.0206   -0.7297     10049
  2601    0.1217   -0.6818      9194
  2602    0.2600   -0.5991      7177
  2603    0.3794   -0.4888      5915
  2604    0.4732   -0.3583      4796
  2605    0.5399   -0.2143      2885
  2606    0.5797   -0.0640      1985
  2607    0.5929    0.0864      1939
  2608    0.5823    0.2311      2009
  2609    0.5519    0.3656      2703
  2610    0.5016    0.4852      3761
  2611    0.4324    0.5851      5044
  2612    0.3464    0.6614      6137
  2613    0.2456    0.7106      6602
  2614    0.1300    0.7291      7177
  2615    0.0003    0.7135      8734
  2616   -0.1375    0.6617      9894
  2617   -0.2691    0.5781     10092
  2618   -0.3812    0.4688      8145
  2619   -0.4684    0.3401      6607
  2620   -0.5342    0.1983      6617
  2621   -0.5729    0.0500      5232
  2622   -0.5841   -0.0981      4112
  2623   -0.5710   -0.2399      4398
  2624   -0.5394   -0.3713      5449
  2625   -0.4867   -0.4867      6528
  2626   -0.4127   -0.5811      7249
  2627   -0.3246   -0.6514      7583
  2628   -0.2239   -0.6950      8365
  2629   -0.1113   -0.7092      9440
  2630    0.0148   -0.6902      9692
  2631    0.1446   -0.6381      8629
  2632    0.2681   -0.5559      7124
  2633    0.3744   -0.4489      5900
  2634    0.4604   -0.3224      4884
  2635    0.5249   -0.1827      3038
  2636    0.5643   -0.0361      1922
  2637    0.5754    0.1095      1893
  2638    0.5615    0.2484      2155
  2639    0.5254    0.3757      2855
  2640    0.4676    0.4857      4144
  2641    0.3899    0.5742      5575
  2642    0.3008    0.6382      6711
  2643    0.2011    0.6765      6919
  2644    0.0908    0.6851      7338
  2645   -0.0280    0.6635      8592
  2646   -0.1484    0.6112      8638
  2647   -0.2632    0.5310      8601
  2648   -0.3660    0.4262      8178
  2649   -0.4497    0.3024      6958
  2650   -0.5131    0.1656      6498
  2651   -0.5523    0.0221      5663
  2652   -0.5635   -0.1211      4699
  2653   -0.5488   -0.2570      4872
  2654   -0.5092   -0.3798      6026
  2655   -0.4483   -0.4843      7147
  2656   -0.3687   -0.5664      7257
  2657   -0.2762   -0.6243      7465
  2658   -0.1750   -0.6556      7690
  2659   -0.0674   -0.6588      7963
  2660    0.0437   -0.6346      8045
  2661    0.1535   -0.5826      8452
  2662    0.2613   -0.5034      7528
  2663    0.3601   -0.4005      5862
  2664    0.4416   -0.2792      5016
  2665    0.5036   -0.1451      3616
  2666    0.5415   -0.0036      2228
  2667    0.5527    0.1365      1963
  2668    0.5360    0.2690      2347
  2669    0.4926    0.3868      3258
  2670    0.4265    0.4855      4853
  2671    0.3423    0.5606      6517
  2672    0.2500    0.6114      7131
  2673    0.1529    0.6374      7051
  2674    0.0533    0.6385      7452
  2675   -0.0484    0.6136      7246
  2676   -0.1493    0.5640      6974
  2677   -0.2506    0.4884      7542
  2678   -0.3481    0.3888      8603
  2679   -0.4307    0.2703      7512
  2680   -0.4928    0.1389      6288
  2681   -0.5302    0.0012      6175
  2682   -0.5407   -0.1361      5570
  2683   -0.5242   -0.2659      5619
  2684   -0.4796   -0.3809      6588
  2685   -0.4121   -0.4758      6971
  2686   -0.3299   -0.5481      6538
  2687   -0.2387   -0.5965      6836
  2688   -0.1446   -0.6207      7100
  2689   -0.0495   -0.6210      6752
  2690    0.0447   -0.5983      7649
  2691    0.1413   -0.5509      8408
  2692    0.2413   -0.4776      8091
  2693    0.3385   -0.3812      6593
  2694    0.4221   -0.2652      5079
  2695    0.4843   -0.1362      3858
  2696    0.5213   -0.0002      2544
  2697    0.5310    0.1344      2135
  2698    0.5113    0.2609      2751
  2699    0.4644    0.3720      3757
  2700    0.3976    0.4634      5274
  2701    0.3157    0.5323      6266
  2702    0.2282    0.5785      6595
  2703    0.1388    0.6024      6785
  2704    0.0497    0.6037      6667
  2705   -0.0401    0.5822      6270
  2706   -0.1340    0.5372      6510
  2707   -0.2323    0.4667      7459
  2708   -0.3298    0.3720      8906
  2709   -0.4136    0.2580      8311
  2710   -0.4755    0.1307      6922
  2711   -0.5116   -0.0026      6594
  2712   -0.5197   -0.1334      6155
  2713   -0.4967   -0.2554      6368
  2714   -0.4473   -0.3614      6746
  2715   -0.3795   -0.4480      6434
  2716   -0.3002   -0.5133      6063
  2717   -0.2175   -0.5575      5782
  2718   -0.1360   -0.5813      6225
  2719   -0.0522   -0.5842      6849
  2720    0.0328   -0.5653      7631
  2721    0.1247   -0.5229      8145
  2722    0.2221   -0.4556      8488
  2723    0.3184   -0.3637      7020
  2724    0.4031   -0.2520      5026
  2725    0.4653   -0.1275      4287
  2726    0.5012    0.0025      2739
  2727    0.5099    0.1318      2579
  2728    0.4898    0.2519      3251
  2729    0.4447    0.3577      4075
  2730    0.3806    0.4455      5334
  2731    0.3049    0.5122      5798
  2732    0.2236    0.5580      6252
  2733    0.1408    0.5826      6378
  2734    0.0586    0.5870      6299
  2735   -0.0256    0.5703      6029
  2736   -0.1160    0.5301      6617
  2737   -0.2120    0.4650      7418
  2738   -0.3078    0.3759      9034
  2739   -0.3947    0.2657      9021
  2740   -0.4592    0.1425      7295
  2741   -0.4958    0.0140      6554
  2742   -0.5058   -0.1141      6180
  2743   -0.4889   -0.2350      6034
  2744   -0.4475   -0.3419      6362
  2745   -0.3852   -0.4305      6411
  2746   -0.3108   -0.4995      6499
  2747   -0.2292   -0.5469      5902
  2748   -0.1456   -0.5729      5690
  2749   -0.0632   -0.5786      6379
  2750    0.0193   -0.5639      7648
  2751    0.1106   -0.5252      7940
  2752    0.2058   -0.4620      8786
  2753    0.3044   -0.3741      7564
  2754    0.3921   -0.2650      5110
  2755    0.4556   -0.1426      4090
  2756    0.4923   -0.0141      2996
  2757    0.4998    0.1121      2842
  2758    0.4797    0.2303      3290
  2759    0.4362    0.3342      4257
  2760    0.3753    0.4206      5045
  2761    0.3021    0.4868      5454
  2762    0.2246    0.5326      6177
  2763    0.1440    0.5587      6787
  2764    0.0649    0.5653      5839
  2765   -0.0157    0.5518      5544
  2766   -0.1043    0.5142      6490
  2767   -0.2006    0.4519      7196
  2768   -0.2988    0.3643      9215
  2769   -0.3857    0.2563      9578
  2770   -0.4498    0.1356      7950
  2771   -0.4826    0.0101      7144
  2772   -0.4865   -0.1124      6439
  2773   -0.4639   -0.2259      5864
  2774   -0.4191   -0.3251      5680
  2775   -0.3577   -0.4067      5802
  2776   -0.2872   -0.4696      6170
  2777   -0.2147   -0.5141      5695
  2778   -0.1412   -0.5404      5700
  2779   -0.0656   -0.5479      6364
  2780    0.0123   -0.5351      7221
  2781    0.0987   -0.4995      7529
  2782    0.1926   -0.4390      8638
  2783    0.2886   -0.3543      8120
  2784    0.3755   -0.2494      5593
  2785    0.4390   -0.1307      4060
  2786    0.4728   -0.0076      3359
  2787    0.4757    0.1123      3471
  2788    0.4504    0.2226      4036
  2789    0.4072    0.3189      4614
  2790    0.3516    0.4003      4654
  2791    0.2882    0.4648      4743
  2792    0.2175    0.5103      5507
  2793    0.1420    0.5367      6289
  2794    0.0659    0.5439      5741
  2795   -0.0129    0.5309      5825
  2796   -0.1002    0.4958      6341
  2797   -0.1927    0.4362      6983
  2798   -0.2877    0.3527      8495
  2799   -0.3733    0.2488      9661
  2800   -0.4369    0.1313      8907
  2801   -0.4693    0.0098      7553
  2802   -0.4725   -0.1093      6293
  2803   -0.4494   -0.2196      5545
  2804   -0.4086   -0.3172      5156
  2805   -0.3557   -0.3996      5602
  2806   -0.2938   -0.4656      6336
  2807   -0.2248   -0.5133      6443
  2808   -0.1484   -0.5407      5941
  2809   -0.0679   -0.5478      6339
  2810    0.0137   -0.5341      7094
  2811    0.1016   -0.4979      7711
  2812    0.1935   -0.4379      8153
  2813    0.2852   -0.3551      7661
  2814    0.3700   -0.2519      5654
  2815    0.4312   -0.1357      4298
  2816    0.4632   -0.0153      3831
  2817    0.4656    0.1022      3845
  2818    0.4463    0.2117      4121
  2819    0.4100    0.3098      3994
  2820    0.3614    0.3946      3961
  2821    0.3019    0.4628      4404
  2822    0.2317    0.5126      5391
  2823    0.1532    0.5413      6512
  2824    0.0696    0.5489      6751
  2825   -0.0162    0.5344      6331
  2826   -0.1041    0.4978      6528
  2827   -0.1937    0.4380      7236
  2828   -0.2831    0.3561      8347
  2829   -0.3644    0.2544      9474
  2830   -0.4256    0.1400      9044
  2831   -0.4572    0.0216      7597
  2832   -0.4616   -0.0948      5769
  2833   -0.4446   -0.2044      4967
  2834   -0.4130   -0.3041      5085
  2835   -0.3667   -0.3906      5756
  2836   -0.3071   -0.4606      6401
  2837   -0.2377   -0.5111      6687
  2838   -0.1575   -0.5408      6261
  2839   -0.0721   -0.5484      6489
  2840    0.0151   -0.5336      7190
  2841    0.1045   -0.4963      7994
  2842    0.1948   -0.4365      8205
  2843    0.2852   -0.3538      7430
  2844    0.3651   -0.2519      5608
  2845    0.4268   -0.1372      4396
  2846    0.4608   -0.0171      3686
  2847    0.4675    0.1010      3655
  2848    0.4537    0.2130      3498
  2849    0.4218    0.3147      3518
  2850    0.3743    0.4027      3932
  2851    0.3141    0.4735      4499
  2852    0.2406    0.5255      5479
  2853    0.1588    0.5551      6649
  2854    0.0737    0.5629      6826
  2855   -0.0145    0.5485      6512
  2856   -0.1025    0.5119      6522
  2857   -0.1944    0.4516      7566
  2858   -0.2855    0.3690      8503
  2859   -0.3676    0.2663      9016
  2860   -0.4309    0.1498      8521
  2861   -0.4661    0.0282      7012
  2862   -0.4746   -0.0918      5508
  2863   -0.4615   -0.2057      4894
  2864   -0.4291   -0.3091      5247
  2865   -0.3828   -0.3991      5978
  2866   -0.3208   -0.4716      6622
  2867   -0.2475   -0.5247      6616
  2868   -0.1648   -0.5553      6569
  2869   -0.0764   -0.5638      6583
  2870    0.0116   -0.5497      7079
  2871    0.0992   -0.5140      7944
  2872    0.1887   -0.4558      8159
  2873    0.2767   -0.3757      7230
  2874    0.3578   -0.2761      5987
  2875    0.4188   -0.1630      4896
  2876    0.4536   -0.0445      3850
  2877    0.4637    0.0731      3489
  2878    0.4527    0.1857      3364
  2879    0.4251    0.2890      2972
  2880    0.3827    0.3798      3370
  2881    0.3257    0.4544      4532
  2882    0.2535    0.5096      5813
  2883    0.1724    0.5431      6697
  2884    0.0834    0.5528      7177
  2885   -0.0056    0.5406      6684
  2886   -0.0950    0.5059      6783
  2887   -0.1854    0.4483      7862
  2888   -0.2745    0.3680      9000
  2889   -0.3537    0.2701      9188
  2890   -0.4147    0.1582      8183
  2891   -0.4504    0.0404      6753
  2892   -0.4632   -0.0781      5159
  2893   -0.4561   -0.1914      4652
  2894   -0.4314   -0.2960      5244
  2895   -0.3889   -0.3880      6006
  2896   -0.3305   -0.4637      6349
  2897   -0.2562   -0.5190      6664
  2898   -0.1708   -0.5514      6521
  2899   -0.0815   -0.5612      6429
  2900    0.0050   -0.5488      7536
  2901    0.0923   -0.5147      8441
  2902    0.1831   -0.4577      8499
  2903    0.2770   -0.3773      7571
  2904    0.3623   -0.2758      5634
  2905    0.4263   -0.1608      4279
  2906    0.4645   -0.0393      3277
  2907    0.4758    0.0818      3219
  2908    0.4657    0.1979      3205
  2909    0.4358    0.3033      3333
  2910    0.3902    0.3955      4080
  2911    0.3288    0.4699      4880
  2912    0.2541    0.5245      5831
  2913    0.1677    0.5562      7151
  2914    0.0796    0.5651      7044
  2915   -0.0055    0.5532      6335
  2916   -0.0931    0.5191      6988
  2917   -0.1850    0.4614      7628
  2918   -0.2787    0.3798      8667
  2919   -0.3659    0.2771      9083
  2920   -0.4325    0.1599      7998
  2921   -0.4709    0.0368      6556
  2922   -0.4818   -0.0860      5456
  2923   -0.4686   -0.2025      5506
  2924   -0.4375   -0.3085      5903
  2925   -0.3885   -0.3997      6336
  2926   -0.3238   -0.4723      6655
  2927   -0.2464   -0.5246      6290
  2928   -0.1596   -0.5537      6090
  2929   -0.0739   -0.5608      6585
  2930    0.0103   -0.5478      7484
  2931    0.0953   -0.5139      8342
  2932    0.1857   -0.4566      8951
  2933    0.2797   -0.3746      7424
  2934    0.3660   -0.2724      5315
  2935    0.4292   -0.1565      3935
  2936    0.4654   -0.0348      3101
  2937    0.4754    0.0854      3144
  2938    0.4608    0.1993      3442
  2939    0.4260    0.3018      3844
  2940    0.3754    0.3897      4019
  2941    0.3091    0.4588      5070
  2942    0.2313    0.5067      6270
  2943    0.1496    0.5341      6912
  2944    0.0692    0.5416      6119
  2945   -0.0119    0.5290      6204
  2946   -0.0963    0.4948      6827
  2947   -0.1849    0.4376      7728
  2948   -0.2777    0.3565      9017
  2949   -0.3600    0.2554      8957
  2950   -0.4211    0.1416      7788
  2951   -0.4544    0.0234      6792
  2952   -0.4592   -0.0929      6012
  2953   -0.4403   -0.2010      5716
  2954   -0.4024   -0.2974      5691
  2955   -0.3492   -0.3782      6025
  2956   -0.2844   -0.4418      5841
  2957   -0.2135   -0.4861      5475
  2958   -0.1382   -0.5114      5704
  2959   -0.0633   -0.5179      6614
  2960    0.0127   -0.5051      7190
  2961    0.0926   -0.4721      8053
  2962    0.1798   -0.4167      8789
  2963    0.2686   -0.3379      7782
  2964    0.3507   -0.2397      5442
  2965    0.4116   -0.1290      3818
  2966    0.4425   -0.0135      3316
  2967    0.4445    0.0988      3881
  2968    0.4255    0.2033      4217
  2969    0.3898    0.2970      4141
  2970    0.3397    0.3761      4222
  2971    0.2777    0.4382      5122
  2972    0.2080    0.4817      5803
  2973    0.1349    0.5069      5879
  2974    0.0625    0.5134      5660
  2975   -0.0122    0.5009      6004
  2976   -0.0917    0.4686      6886
  2977   -0.1777    0.4133      7933
  2978   -0.2646    0.3366      8509
  2979   -0.3443    0.2405      8973
  2980   -0.4041    0.1312      8073
  2981   -0.4372    0.0174      6807
  2982   -0.4426   -0.0942      5946
  2983   -0.4255   -0.1990      5682
  2984   -0.3909   -0.2924      6277
  2985   -0.3414   -0.3721      6418
  2986   -0.2779   -0.4337      5756
  2987   -0.2087   -0.4777      5665
  2988   -0.1359   -0.5022      5795
  2989   -0.0627   -0.5089      6153
  2990    0.0122   -0.4964      6864
  2991    0.0898   -0.4639      7896
  2992    0.1721   -0.4108      8449
  2993    0.2546   -0.3366      8352
  2994    0.3337   -0.2438      6088
  2995    0.3949   -0.1367      3896
  2996    0.4284   -0.0246      3192
  2997    0.4342    0.0846      3647
  2998    0.4155    0.1869      4094
  2999    0.3795    0.2780      4125
  3000    0.3294    0.3544      4953
  3001    0.2687    0.4139      5300
  3002    0.2030    0.4561      5335
  3003    0.1329    0.4807      5532
  3004    0.0623    0.4876      5931
  3005   -0.0099    0.4765      6242
  3006   -0.0858    0.4454      6689
  3007   -0.1654    0.3938      7718
  3008   -0.2470    0.3218      8653
  3009   -0.3246    0.2309      8956
  3010   -0.3839    0.1273      8348
  3011   -0.4151    0.0192      6787
  3012   -0.4180   -0.0864      5975
  3013   -0.3964   -0.1828      6070
  3014   -0.3563   -0.2671      6091
  3015   -0.3066   -0.3376      5527
  3016   -0.2490   -0.3927      5620
  3017   -0.1874   -0.4315      5516
  3018   -0.1234   -0.4543      5385
  3019   -0.0570   -0.4606      6206
  3020    0.0125   -0.4487      6796
  3021    0.0856   -0.4183      7729
  3022    0.1630   -0.3678      8808
  3023    0.2416   -0.2970      8231
  3024    0.3146   -0.2094      6174
  3025    0.3706   -0.1094      4060
  3026    0.3977   -0.0058      3505
  3027    0.3961    0.0940      4208
  3028    0.3721    0.1843      4805
  3029    0.3355    0.2636      5327
  3030    0.2920    0.3311      4996
  3031    0.2412    0.3851      4648
  3032    0.1849    0.4249      4919
  3033    0.1229    0.4482      5224
  3034    0.0580    0.4544      5435
  3035   -0.0096    0.4429      6246
  3036   -0.0801    0.4141      6409
  3037   -0.1542    0.3672      7371
  3038   -0.2321    0.2994      8826
  3039   -0.3039    0.2138      9371
  3040   -0.3570    0.1171      8579
  3041   -0.3827    0.0174      7140
  3042   -0.3798   -0.0775      5682
  3043   -0.3586   -0.1650      5495
  3044   -0.3259   -0.2430      5250
  3045   -0.2872   -0.3103      5448
  3046   -0.2424   -0.3650      5535
  3047   -0.1890   -0.4058      5564
  3048   -0.1298   -0.4310      5927
  3049   -0.0653   -0.4392      6801
  3050    0.0033   -0.4293      6635
  3051    0.0736   -0.4021      7821
  3052    0.1481   -0.3564      8900
  3053    0.2257   -0.2904      8086
  3054    0.2960   -0.2071      5769
  3055    0.3460   -0.1138      4092
  3056    0.3684   -0.0184      4028
  3057    0.3658    0.0731      4628
  3058    0.3465    0.1575      4825
  3059    0.3190    0.2339      4799
  3060    0.2833    0.2999      4516
  3061    0.2403    0.3548      4782
  3062    0.1917    0.3964      5039
  3063    0.1348    0.4233      4970
  3064    0.0727    0.4336      5297
  3065    0.0038    0.4259      6521
  3066   -0.0691    0.3993      6816
  3067   -0.1443    0.3541      7634
  3068   -0.2203    0.2890      9142
  3069   -0.2894    0.2079      9500
  3070   -0.3399    0.1160      8229
  3071   -0.3648    0.0211      6862
  3072   -0.3654   -0.0705      5631
  3073   -0.3467   -0.1557      5214
  3074   -0.3182   -0.2321      5420
  3075   -0.2816   -0.2981      5537
  3076   -0.2380   -0.3523      5250
  3077   -0.1903   -0.3937      5259
  3078   -0.1363   -0.4210      5976
  3079   -0.0760   -0.4327      7163
  3080   -0.0080   -0.4266      7522
  3081    0.0662   -0.4008      7598
  3082    0.1424   -0.3556      8426
  3083    0.2192   -0.2915      7991
  3084    0.2908   -0.2088      5708
  3085    0.3423   -0.1166      3705
  3086    0.3660   -0.0218      3041
  3087    0.3650    0.0697      3990
  3088    0.3465    0.1547      4922
  3089    0.3167    0.2306      4870
  3090    0.2796    0.2962      4903
  3091    0.2359    0.3497      5305
  3092    0.1875    0.3906      5032
  3093    0.1371    0.4184      4554
  3094    0.0784    0.4312      5066
  3095    0.0098    0.4251      6723
  3096   -0.0646    0.3996      7591
  3097   -0.1416    0.3543      7990
  3098   -0.2179    0.2903      8818
  3099   -0.2854    0.2098      8773
  3100   -0.3361    0.1189      8212
  3101   -0.3603    0.0250      6813
  3102   -0.3571   -0.0642      5004
  3103   -0.3373   -0.1464      4824
  3104   -0.3074   -0.2201      5496
  3105   -0.2716   -0.2837      5617
  3106   -0.2312   -0.3364      5241
  3107   -0.1883   -0.3782      5544
  3108   -0.1406   -0.4074      6481
  3109   -0.0812   -0.4210      7649
  3110   -0.0134   -0.4163      7852
  3111    0.0632   -0.3908      8186
  3112    0.1435   -0.3455      8418
  3113    0.2200   -0.2808      7412
  3114    0.2854   -0.2006      5551
  3115    0.3306   -0.1121      3612
  3116    0.3471   -0.0226      3546
  3117    0.3404    0.0620      4528
  3118    0.3207    0.1399      4983
  3119    0.2937    0.2103      4872
  3120    0.2651    0.2731      4898
  3121    0.2320    0.3270      4743
  3122    0.1939    0.3705      4439
  3123    0.1451    0.4009      4391
  3124    0.0873    0.4157      5294
  3125    0.0193    0.4122      6699
  3126   -0.0579    0.3884      8114
  3127   -0.1392    0.3436      8725
  3128   -0.2166    0.2790      8843
  3129   -0.2817    0.2001      9088
  3130   -0.3246    0.1129      7787
  3131   -0.3415    0.0244      5906
  3132   -0.3377   -0.0599      4609
  3133   -0.3228   -0.1390      4645
  3134   -0.3006   -0.2116      5407
  3135   -0.2746   -0.2766      5734
  3136   -0.2415   -0.3330      5812
  3137   -0.2005   -0.3780      5834
  3138   -0.1490   -0.4090      6450
  3139   -0.0904   -0.4242      7586
  3140   -0.0200   -0.4210      8505
  3141    0.0592   -0.3966      8784
  3142    0.1422   -0.3504      8246
  3143    0.2191   -0.2863      7421
  3144    0.2844   -0.2067      5107
  3145    0.3293   -0.1185      3370
  3146    0.3492   -0.0283      3107
  3147    0.3459    0.0580      3643
  3148    0.3309    0.1393      4301
  3149    0.3097    0.2141      4785
  3150    0.2816    0.2810      4842
  3151    0.2478    0.3387      5065
  3152    0.2060    0.3849      5258
  3153    0.1549    0.4174      5085
  3154    0.0940    0.4336      5476
  3155    0.0235    0.4311      7088
  3156   -0.0568    0.4069      8847
  3157   -0.1400    0.3617      9420
  3158   -0.2182    0.2972      8248
  3159   -0.2848    0.2177      8124
  3160   -0.3283    0.1293      7349
  3161   -0.3453    0.0405      5496
  3162   -0.3409   -0.0445      4169
  3163   -0.3251   -0.1238      4073
  3164   -0.3039   -0.1973      4565
  3165   -0.2790   -0.2646      5728
  3166   -0.2473   -0.3222      6464
  3167   -0.2073   -0.3690      6362
  3168   -0.1585   -0.4025      6894
  3169   -0.0998   -0.4197      8080
  3170   -0.0291   -0.4189      8861
  3171    0.0527   -0.3956      9192
  3172    0.1363   -0.3512      8213
  3173    0.2133   -0.2874      7207
  3174    0.2767   -0.2099      5033
  3175    0.3175   -0.1244      2994
  3176    0.3318   -0.0392      3000
  3177    0.3241    0.0414      3941
  3178    0.3060    0.1154      4530
  3179    0.2846    0.1840      4391
  3180    0.2601    0.2461      4453
  3181    0.2318    0.3006      4820
  3182    0.1979    0.3462      4749
  3183    0.1553    0.3798      4819
  3184    0.0988    0.3978      5873
  3185    0.0293    0.3969      7391
  3186   -0.0498    0.3748      9256
  3187   -0.1327    0.3309      9516
  3188   -0.2079    0.2691      8347
  3189   -0.2685    0.1938      8183
  3190   -0.3071    0.1119      7460
  3191   -0.3189    0.0302      5741
  3192   -0.3101   -0.0467      4567
  3193   -0.2922   -0.1175      3984
  3194   -0.2722   -0.1837      4278
  3195   -0.2527   -0.2446      5073
  3196   -0.2297   -0.2996      5589
  3197   -0.1984   -0.3455      6300
  3198   -0.1548   -0.3793      7577
  3199   -0.0962   -0.3963      8636
  3200   -0.0259   -0.3939      9009
  3201    0.0523   -0.3710      8728
  3202    0.1317   -0.3282      8442
  3203    0.2035   -0.2672      6993
  3204    0.2621   -0.1943      5025
  3205    0.2998   -0.1142      3229
  3206    0.3147   -0.0332      3374
  3207    0.3117    0.0448      4044
  3208    0.2985    0.1184      4304
  3209    0.2826    0.1874      4023
  3210    0.2632    0.2511      3963
  3211    0.2373    0.3076      4842
  3212    0.2024    0.3537      4876
  3213    0.1574    0.3878      5015
  3214    0.0970    0.4045      6350
  3215    0.0239    0.4017      8442
  3216   -0.0548    0.3781      9833
  3217   -0.1322    0.3351      9307
  3218   -0.2012    0.2755      7873
  3219   -0.2577    0.2041      7456
  3220   -0.2961    0.1244      6597
  3221   -0.3131    0.0436      5076
  3222   -0.3124   -0.0346      4251
  3223   -0.3040   -0.1101      4018
  3224   -0.2906   -0.1809      4646
  3225   -0.2722   -0.2466      5554
